"","country","region","continent","latitude","longitude","population","area_sq_mi","pop_density_per_sq_mi","net_migration","GDP_per_capita","HDI","gini_coefficient","consumer_price_index","gender_inequality_index","infant_mortality_per_1k","physicians_per_10k","pub_health_spend_pct_of_gdp","avg_years_of_education","pub_education_spend_pct_of_gdp","phones_per_1k","pct_of_internet_users","prison_pop_per_100k"
"12","Belarus","C.W. Of Ind. States","Europe",53.709807,27.953389,10293011,207600,49.6,2.54,6100,0.79836651789255,26.46,288.6468125,0.150727080975607,13.37,37.56,6.067956,11.97681,5.121059895,319.1,59.02,335
"13","Belgium","Western Europe","Europe",50.503887,4.469936,10379067,30528,340,1.23,29100,0.890262992237101,33.14,107.6561463,0.0633068569164558,4.68,29.93,11.18614,11.27326393,6.548860073,462.6,85,108
"14","Belize","Latin Amer. & Carib","North America",17.189877,-88.49765,287730,22966,12.5,0,4900,0.714982234811716,42.7433333333333,98.2421612,0.425749674726351,25.69,8.28,5.428263,10.48802948,6.613369942,115.7,38.7,476
"15","Bhutan","Asia","Asia",27.514162,90.433601,2279723,47000,48.5,0,1300,0.605184587949222,38.73,129.194415,0.457433789180101,100.44,2.59,3.592283,3.01,5.47713995,14.3,34.37,135
"16","Bolivia","Latin Amer. & Carib","South America",-16.290154,-63.588653,8989046,1098580,8.2,-1.32,2400,0.661830764207645,46.64,121.4134042,0.444295564892852,53.11,4.73,6.065052,8.153532982,6.436910152,71.9,39.02,140
"17","Botswana","Sub-Saharan Africa","Africa",-22.328474,24.684866,1639833,600370,2.7,0,9000,0.69791874265797,60.46,123.4989648,0.480071140002604,54.58,3.36,5.429467,8.87,9.487380028,80.5,18.5,205
"18","Brazil","Latin Amer. & Carib","South America",-14.235004,-51.92528,188078227,8511965,22.1,-0.03,7600,0.755291955805556,52.67,119.3673758,0.45686587422578,29.61,18.91,9.66039,7.66,5.822249889,225.3,57.6,274
"19","Brunei","Asia","Asia",4.535277,114.727669,379444,5770,65.8,3.59,18600,0.855615864663717,29.0033333333333,102.8821973,0.0642524393710849,12.61,14.98,2.524611,8.77,3.765949965,237.2,68.77,122
"20","Bulgaria","Eastern Europe","Europe",42.733883,25.48583,7385367,110910,66.6,-4.58,7600,0.781675314080213,34.28,108.2542145,0.211593763716991,20.55,38.12,7.626268,10.56554948,3.820930004,336.3,55.49,151
"21","Cambodia","Asia","Asia",12.565679,104.990963,13881427,181040,76.7,0,1900,0.554758321299132,31.82,111.7668232,0.477496076534391,71.48,2.27,7.518833,4.36901,2.603879929,2.6,9,106
"22","Canada","Northern America","North America",56.130366,-106.346771,33098932,9984670,3.3,5.96,29800,0.913178984420728,33.68,105.4522038,0.129227342328793,4.75,20.68,10.8607,13.00416198,5.272459984,552.2,87.12,118
"23","Cape Verde","Sub-Saharan Africa","Africa",16.002082,-24.013197,420979,4033,104.4,-12.07,1400,0.646240272542626,43.82,108.7509463,0.373180782101762,47.77,2.95,4.353161,4.683459,5.043610096,169.6,40.26,267
